Team Name,Player 1 ,Player 2,Player 3
Glasgow A,Alfred Vance,Lourdes Hernandez,Lloyd Hunt
Glasgow B,Clark Hahn,Elnora Blackwell,Alberto Wheeler
Edinburgh A,Kristy Haynes,James Conner,Hester Park
Edinburgh B,Etta Hall,Helga Schroeder,Callie Dean
Aberdeen,Christi Cabrera,Ike Dodson,Rick Lindsey
Aberdeen Uni,Oscar Robles,Selena Mccormick,Cecile Costa
Strathclyde Uni,Katrina Fields,Avery Roberson,Stephanie Cross
Shiraoka,Mathew Wilcox,Monroe Graves,Edith Shelton
Inverness,Kory Morse,Vicente Valenzuela,Jack Jacobs
Liverpool,Gonzalo Sanford,Wendy Matthews,Keenan Alvarado
Manchester,Shayne David,Kenneth Best,Rolf Fischer
London,Cedric Weaver,Jacques Levy,Brooks Roy
Newcastle,Jamar Weaver,Jerome Cardenas,Freddie Mitchell
Reading,Riley Mcmillan,Josefina Pitts,Adolph Jones
Bristol,Pierre Zuniga,Isaias Reid,Kenneth Mcgee
Birmingham,Roger Scott,Mari Ayala,Marla Hoover
